entity,corpus,frequency,snomed_concept,depth
knee,B,3,72696002,14
lcs,B,3,273555000,4
ldh,B,3,166681001,
leukocytosis,B,3,111583006,12
life-threatening condition,B,3,,
lithium,B,3,85899009,11
location,B,3,246267002,4
loss,B,3,138214005,
lymphocytes,B,3,709252005,16
mass,B,3,4147007,5
mcv,B,3,426342006,5
mdd,B,3,,
measures,B,3,367346004,3
method,B,3,260686004,6
minutes,B,3,258701004,5
mmhg,B,3,259018001,5
moderate,B,3,6736007,7
molar pregnancy,B,3,44782008,17
mutations,B,3,722967008,9
myalgia,B,3,68962001,12
nail,B,3,72651009,12
nausea,B,3,139330007,
neurogenic claudication,B,3,303081002,15
neurological symptoms,B,3,139607007,
normal physical examination,B,3,,
nsaid,B,3,16403005,8
option 5,B,3,,
osteophytes,B,3,239454000,12
pallor,B,3,398979000,12
pe,B,3,101618006,6
placement,B,3,71861002,4
plasmapheresis,B,3,20720000,14
properties,B,3,405648003,2
prophylaxis,B,3,46167008,5
pulmonary embolism,B,3,59282003,13
q fever,B,3,86012006,
ra,B,3,12396006,12
radiographic,B,3,258106000,4
rare,B,3,89292003,6
reiter's syndrome,B,3,67224007,18
respiratory infection,B,3,195705000,
sensitive,B,3,83185005,5
short stature,B,3,277266007,8
smd,B,3,181237009,21
soft drusen,B,3,420272005,18
source,B,3,260753009,5
stability,B,3,141721003,
stage,B,3,258214002,5
standing,B,3,10904000,9
statement,B,3,153184004,
status,B,3,263490005,4
streptococcus pneumoniae,B,3,9861002,16
study,B,3,224699009,10
subepithelial,B,3,427987005,15
suspected,B,3,76053005,8
tearing,B,3,139559008,
thoracentesis,B,3,91602002,11
time,B,3,118574008,4
tissue,B,3,85756007,5
trunk,B,3,22943007,7
type 2 diabetes mellitus,B,3,44054006,13
ultrasound,B,3,16310003,11
urinary tract infection,B,3,68566005,10
valproate,B,3,264325000,15
vte,B,3,1145071008,3
weight,B,3,726527001,4
years,B,3,258707000,5
absences,B,2,248227006,11
abundant,B,2,766706007,13
acidosis,B,2,154757004,
activation,B,2,33230000,11
activity,B,2,257733005,4
acute hiv infection,B,2,111880001,8
afferent,B,2,49530007,6
alleviate,B,2,225353007,5
als,B,2,739123003,12
amitriptyline,B,2,40589005,9
an,B,2,247326002,
ana,B,2,45530001,21
analgesics,B,2,151180002,
analysis,B,2,272389005,6
anemia,B,2,64593003,
animals,B,2,387961004,5
anorexia,B,2,79890006,7
anorexia nervosa,B,2,154926005,
anti-rna polymerase iii antibodies,B,2,,
antibiotic,B,2,41000005,
antibiotic treatment,B,2,,
antigen-positive phase,B,2,,
antinuclear antibodies,B,2,,
apical infiltrates,B,2,,
apparent,B,2,102519007,8
area,B,2,42798000,6
aspergillus fumigatus,B,2,32684000,14
association,B,2,263534001,4
attack,B,2,216299002,4
attitude,B,2,225464009,6
autoimmune disease,B,2,85828009,7
autoimmune haemolytic anaemia,B,2,154803002,
bacterial infection,B,2,87628006,4
basal acth,B,2,,
benefit,B,2,138333002,
birads,B,2,,
bleeding,B,2,303123004,
blood flow,B,2,58190003,8
blood tests,B,2,147033009,
bone consolidation,B,2,,
brain,B,2,12738006,14
breast,B,2,76752008,18
breast development,B,2,365402005,12
brief,B,2,359535008,6
calcium,B,2,5540006,8
calcium gluconate,B,2,53691001,12
cancer,B,2,86049000,10
carbon dioxide,B,2,31811003,15
carotid ultrasound,B,2,417218000,6
carriers,B,2,,
cdi,B,2,444296002,5
central obesity,B,2,248311001,11
central vision loss,B,2,,
cerebrospinal fluid,B,2,65216001,13
cervical insufficiency,B,2,17382005,16
cervical lymphadenopathy,B,2,127086001,14
cervical vertebrae,B,2,207936000,15
cesarean section,B,2,11466000,20
characterised,B,2,373673007,10
characteristic symptoms,B,2,,
child's,B,2,138336005,
choice,B,2,408855004,4
chromosomal abnormalities,B,2,316699005,
chronic osteomyelitis,B,2,156791003,
cll,B,2,92814006,19
closed,B,2,29179001,6
coagulation disorder,B,2,64779008,6
collagen layer,B,2,,
combined immunodeficiency,B,2,234572005,11
compensatory response,B,2,,
comprehensive,B,2,224854003,8
conception,B,2,13693004,8
confirm,B,2,703690001,6
conjunctival injection,B,2,425223000,11
corticosteroid,B,2,411213001,10
corticosteroid therapy,B,2,325340008,5
cortisol,B,2,56423005,19
cost-effective,B,2,,
creatinine,B,2,15373003,14
critical situation,B,2,,
crystals,B,2,250448002,12
cushing's disease,B,2,190502001,14
cushing's syndrome,B,2,154705004,
d-dimer,B,2,25607008,14
decline,B,2,154091000119106,4
delayed bone age,B,2,123983008,9
denervation,B,2,66277009,5
dental malocclusion,B,2,,
denudation,B,2,,
deposition,B,2,46595003,5
depression,B,2,41006004,9
depressive disorder,B,2,35489007,10
detect,B,2,397592007,6
detection,B,2,367018006,
determination,B,2,146392003,
dexamethasone,B,2,116568000,19
diabetes mellitus,B,2,191044006,
diabetic nephropathy,B,2,127013003,13
diagnostic,B,2,261004008,7
diagnostic method,B,2,169289009,9
diagnostic suspicion,B,2,,
diagnostic tool,B,2,,
differentiate,B,2,,
dilating,B,2,229134003,15
direct coombs test,B,2,77020008,16
direct coombs' test,B,2,,
disorders,B,2,64572001,2
disrupted,B,2,425383001,9
dizziness,B,2,69096003,11
dna,B,2,24851008,9
donor,B,2,261008006,5
doses,B,2,426519003,6
drainage,B,2,75823008,7
dry form,B,2,41235001,13
dyslipidemia,B,2,370992007,10
e. coli,B,2,112283007,14
elevated creatinine,B,2,,
emergence,B,2,398025007,4
emg,B,2,153454001,
empirical,B,2,371018001,5
enalapril,B,2,15222008,8
endometriotic lesions,B,2,,
endoscopy,B,2,34374007,12
eosinophilic esophagitis,B,2,235599003,13
epithelial atrophy,B,2,446689007,7
er,B,2,33761008,8
escharotomy,B,2,70177008,11
escherichia coli,B,2,112283007,14
esr,B,2,165466008,10
evaluation,B,2,122503006,5
exposure to,B,2,24932003,4
extension,B,2,255536004,6
extensive,B,2,41118005,6
extent,B,2,260858005,5
factor v leiden,B,2,143012004,
failure,B,2,76797004,6
fasciculations,B,2,,
fertilising,B,2,,
fish,B,2,90580008,8
foramen,B,2,149166004,
fourth thoracic nerve,B,2,244043004,16
frequency,B,2,260864003,5
frequent,B,2,70232002,6
functional,B,2,40143009,6
functional impairment,B,2,,
functional impotence,B,2,8263001,15
fungal infection,B,2,3218000,4
glomerular filtration rate,B,2,80274001,9
gout,B,2,90560007,14
gpa,B,2,117508007,15
griseofulvin,B,2,64349004,10
haemolysis,B,2,260882000,5
hand,B,2,85562004,13
hard exudates,B,2,247131008,16
hemimedullary syndrome,B,2,,
hemodialysis,B,2,27392003,
hemodynamic,B,2,422773005,4
hemophilia a,B,2,28293008,9
hepatitis b surface antigen,B,2,22290004,10
her2 status,B,2,,
hereditary spherocytosis,B,2,154795009,
heterozygous,B,2,165733008,
history of,B,2,392521001,4
hla-identical,B,2,,
hormonal deficit,B,2,87571007,11
hospital admission,B,2,32485007,5
hyperactivity,B,2,405026005,13
hyperalgesia,B,2,55406008,12
hypotension,B,2,155487000,
hysteroscopy,B,2,142512000,
iga,B,2,165942009,
ige,B,2,165944005,
igm,B,2,165941002,
imaging,B,2,363679005,8
immune complexes,B,2,143399001,
immunocompromised,B,2,164708000,
immunodeficiency,B,2,64431000,
improving,B,2,385633008,7
inappropriate,B,2,900000000000494007,6
independence,B,2,225346003,9
indicative,B,2,,
individual's,B,2,,
infected,B,2,73154007,6
infectious,B,2,154347003,
influenza,B,2,155559006,
ingestion,B,2,111984006,7
insomnia,B,2,62577008,
insufficient,B,2,423437008,5
intermediate,B,2,11896004,6
interventricular septum,B,2,589001,25
intervertebral,B,2,264042003,7
intracranial pressure,B,2,250844005,6
intraepithelial,B,2,89947002,4
invasive aspergillosis,B,2,721798004,7
invasive procedures,B,2,,
investigation,B,2,164712006,
irritability,B,2,55929007,9
joint,B,2,39352004,9
joints,B,2,81087007,8
jugular venous pulse,B,2,22921004,8
kappa light chains,B,2,,
karyotype,B,2,145682009,
kawasaki disease,B,2,75053002,15
lancinating pain,B,2,,
laparoscopy,B,2,142523001,
late stage,B,2,236040000,5
left leg,B,2,48979004,15
left periocular pain,B,2,,
limitation,B,2,246175000,6
localized,B,2,255471002,7
lormetacepam,B,2,,
loss of appetite,B,2,79890006,7
loss of vision,B,2,40031005,12
low haemoglobin,B,2,,
low platelet count,B,2,95605009,20
lumbar canal stenosis,B,2,,
lumbosciatica,B,2,,
lupus,B,2,200936003,8
magnetic resonance angiography,B,2,105370006,22
magnetic resonance imaging,B,2,113091000,11
malaria,B,2,154374002,
malignancy,B,2,86049000,10
mammography,B,2,71651007,13
masson's trichrome technique,B,2,,
maturation,B,2,164129002,
mctd,B,2,33110008,9
measles,B,2,154338006,
medullary aplasia,B,2,,
metabolic acidosis,B,2,59455009,9
metamizol,B,2,,
metamorphopsia,B,2,42134006,13
microangiopathic haemolysis,B,2,,
microorganism,B,2,264395009,3
microsatellite instability,B,2,443412009,3
microscopic haematuria,B,2,393594007,
mineralocorticoid,B,2,419478000,16
mitigate,B,2,,
molar pregnancies,B,2,198818003,17
mood changes,B,2,,
motor symptoms,B,2,139510009,
moxifloxacin,B,2,408008008,
muscle,B,2,71616004,7
muscle weakness,B,2,26544005,7
myocardial infarction,B,2,233824008,
myopia magna,B,2,,
naproxen,B,2,11847009,10
nerves,B,2,162191009,
nitrites,B,2,,
nnt,B,2,,
nsaids,B,2,,
obesity,B,2,154776002,
observed,B,2,151174005,
older,B,2,53201003,10
onset of,B,2,77374008,4
optic chiasm,B,2,244453006,22
orbital,B,2,263826004,7
orbitomalar fracture,B,2,,
organisms,B,2,4748007,2
organs,B,2,157344000,
osteoarthritis,B,2,156486003,
osteoporosis,B,2,156825006,
oxygen delivery,B,2,16206004,5
oxygen saturation,B,2,390357003,
oxygen therapy,B,2,150975001,
paco2,B,2,25284008,15
pain management,B,2,278414003,5
painful,B,2,22253000,9
pao2,B,2,25579001,17
paresthesias,B,2,,
partial,B,2,255609007,6
pathogens,B,2,,
pathology,B,2,393402002,
pathophysiology,B,2,,
patient's pain,B,2,,
pbc,B,2,71750001,6
pcr,B,2,702675006,8
periodic,B,2,81591007,5
perioperative,B,2,398226000,5
pheo,B,2,,
phlebography,B,2,129108007,22
physical findings,B,2,,
platelet count,B,2,142967005,
platelet transfusions,B,2,,
platelets,B,2,259727009,6
pleural effusion,B,2,155606001,
pleural fluid,B,2,301988004,
pleuritic pain,B,2,139233006,
polydipsia,B,2,161847005,
polymyositis,B,2,156457001,
polyuria,B,2,139462009,
portion,B,2,294345003,20
pr,B,2,8319008,4
predisposed,B,2,286704008,10
pregnancies,B,2,127362006,12
premature dilation,B,2,,
pressure,B,2,13543005,6
primary,B,2,63161005,6
problem-solving,B,2,228552002,13
procedure,B,2,71388002,1
prominent,B,2,4657009,6
promote,B,2,311648004,8
protein levels,B,2,365773000,11
proteinuria,B,2,144515004,
psychogenic seizures,B,2,191714002,15
puerperium,B,2,86569001,13
pulmonary arteries,B,2,448470007,9
pulmonary contusion,B,2,262784001,15
pupillary defect,B,2,247017005,14
radiological findings,B,2,,
reasons,B,2,152435006,
recommendation,B,2,420227002,6
reduction,B,2,289928003,10
relative rest,B,2,,
relief,B,2,224978009,9
renal dysfunction,B,2,236423003,11
renal leak syndrome,B,2,,
respiratory depression,B,2,80954004,6
rest,B,2,258157001,6
reticulocytosis,B,2,142899000,
retinal detachment,B,2,155103005,
rheumatoid arthritis,B,2,156471009,
rhinorrhea,B,2,6696001,11
right eye,B,2,18944008,17
right sternal border,B,2,,
risk factor,B,2,80943009,3
risks,B,2,370995009,7
rna microarrays,B,2,,
rt-pa,B,2,387152000,22
rupture,B,2,263896005,
scarlatiniform rash,B,2,65036008,14
scarlet fever,B,2,154303009,
score,B,2,246262008,6
secondary,B,2,2603003,6
sensory deficits,B,2,,
sensory disturbances,B,2,,
septal rupture,B,2,371817007,16
serum aldolase,B,2,,
sexual development,B,2,112092002,10
sexually transmitted infections,B,2,412712007,8
signs,B,2,141468009,
sinking,B,2,47044002,5
skin,B,2,39937001,9
skin lesions,B,2,274949005,13
sle,B,2,10429004,15
small,B,2,255507004,6
sperm,B,2,6789008,19
spironolactone,B,2,13929005,9
splenectomy,B,2,64422000,
spontaneous,B,2,5054005,6
stable,B,2,58158008,7
sudden,B,2,255363002,5
symptom,B,2,393457000,
syndrome,B,2,64572001,2
systemic vasculitis,B,2,46956008,12
t4,B,2,143688006,
tachypnea,B,2,43186005,
targeting,B,2,765109004,14
therapeutic,B,2,262202000,7
therapeutic option,B,2,,
therapeutic response,B,2,102468005,6
thickened,B,2,263899003,5
thoracic vertebrae,B,2,273212000,9
thrombocytopenia,B,2,70786006,10
thrombopenic purpura,B,2,,
thrombotic events,B,2,,
tinea capitis,B,2,5441008,15
tissue damage,B,2,37782003,5
titer,B,2,118590008,5
tolerance,B,2,71412006,7
tonic-clonic seizures,B,2,54200006,10
tp53,B,2,1260406003,17
transmitted,B,2,60117003,3
transvaginal ultrasound,B,2,427068001,23
treatments,B,2,386439008,8
tumour,B,2,108369006,8
unresponsiveness,B,2,123173008,
urinary tract infections,B,2,162183000,
urine osmolality,B,2,144662003,
uti,B,2,162597002,
utis,B,2,,
vertebral crushing,B,2,,
viral load,B,2,392965004,
vision loss,B,2,1231696003,13
visual alteration,B,2,131182003,10
visual loss,B,2,40031005,12
vomiting,B,2,139337005,
walking,B,2,63448001,17
weight gain,B,2,8943002,9
white blood cells,B,2,52501007,8
x-ray,B,2,52250000,5
xiphoid appendage,B,2,,
zygomatico-maxillary suture,B,2,,
**collagenous colitis,B,1,,
**leptospirosis,B,1,,
**normal response,B,1,,
**option 4,B,1,,
**retinal detachment,B,1,,
**thrombotic thrombocytopenic purpura,B,1,,
**tricuspid,B,1,,
"1,25-oh",B,1,,
25-oh d,B,1,,
2d,B,1,101840000,6
3-year history,B,1,,
"45,x",B,1,,
aad,B,1,,
abdomen,B,1,113345001,12
abdominal cramps,B,1,158504006,
abdominal pain,B,1,139313005,
abnormalities,B,1,158370002,
abortion,B,1,70317007,16
abrupt onset,B,1,75224007,4
absent,B,1,2667000,6
absolute,B,1,56136002,6
acc,B,1,215867005,7
accurate,B,1,263656005,5
acid-base status,B,1,,
acth,B,1,40789008,19
activated partial thromboplastin time,B,1,142980008,
active thrombosis,B,1,,
activities,B,1,257733005,4
acute attack,B,1,769366008,7
acute bleeding diathesis,B,1,,
acute exacerbations,B,1,26847009,7
acute forms,B,1,,
acute gout,B,1,770924008,16
acute gout attacks,B,1,,
acute illness,B,1,,
acute knee pain,B,1,,
acute pancreatitis,B,1,155834006,
acute polyspike discharges,B,1,,
acute process,B,1,,
acute renal failure,B,1,155855008,
acute setting,B,1,,
acute thrombocytopenia,B,1,,
acute treatment,B,1,,
acute-phase protein,B,1,,
acute-phase reactant,B,1,,
acyclovir,B,1,41193000,7
adenomas,B,1,189578007,
administer,B,1,418283001,5
administering,B,1,714418004,11
adolescence,B,1,22396007,7
adrenal masses,B,1,,
adrenal tumour,B,1,127021009,16
adrenocortical carcinoma,B,1,,
advanced ckd,B,1,,
advances,B,1,,
aesthetic,B,1,1306761006,6
afebrile status,B,1,,
affected eye,B,1,,
age-related,B,1,155127007,
age-related finding,B,1,,
age-related macular degeneration,B,1,155112007,
aggravated,B,1,68027008,4
agonist,B,1,363739007,
agonists,B,1,223063008,11
albumin,B,1,52454007,16
albuminuria,B,1,29738008,11
alcohol consumption,B,1,160573003,8
aldolase,B,1,28598003,17
aldosterone,B,1,42605004,18
alignment,B,1,263645005,5
alleviating,B,1,225977007,10
allodynia,B,1,247404004,9
allogeneic bone marrow transplantation,B,1,58390007,11
allogeneic transplantation,B,1,50223000,8
allopurinol,B,1,25246002,7
alopecia,B,1,156408004,
alteplase,B,1,27638005,13
alteration,B,1,130948000,10
alternative medications,B,1,,
alternatives,B,1,432081000124100,7
alveolar basement membrane,B,1,259896004,22
alveolar pulmonary infiltrates,B,1,,
alveoli,B,1,272687000,27
alzheimer's disease,B,1,26929004,12
ama,B,1,416413003,12
amoxicillin,B,1,27658006,10
amoxicillin-clavulanic acid,B,1,,
amplification,B,1,12645001,8
amyloidosis,B,1,154769007,
amyotrophic lateral sclerosis,B,1,86044005,7
anaemia,B,1,154786001,
analgesic,B,1,255630003,
analgesic effect,B,1,,
analytical control,B,1,,
analytical parameter,B,1,,
androgens,B,1,346324007,6
anemia's,B,1,,
angio-ct,B,1,,
angiotensin-converting enzyme,B,1,259304004,20
anhedonia,B,1,28669007,8
anhidrosis,B,1,156414006,
ankle sprain,B,1,44465007,17
annular,B,1,112627000,6
anterior clinoid processes,B,1,,
anti-gbm antibodies,B,1,,
anti-hbs (,B,1,,
anti-mitochondrial antibodies,B,1,,
antibiotic-associated diarrhea,B,1,301469002,14
antibiotic-induced disruption,B,1,,
antibiotic-resistant bacteria,B,1,,
antibody,B,1,68498002,17
antibody response,B,1,,
anticoagulant,B,1,81839001,5
anticoagulation therapy,B,1,704034004,10
anticonvulsant,B,1,255632006,6
anticonvulsant properties,B,1,,
antidepressant therapy,B,1,698456001,8
antidepressants,B,1,321916002,8
antidiuretic hormone,B,1,77671006,17
antiepileptic drug,B,1,295960003,10
antiepileptic drugs,B,1,,
antiepileptics,B,1,346326009,
antifungal agent,B,1,324643005,5
antihypertensive medications,B,1,,
antimicrobial treatment,B,1,,
antithymocyte globulin,B,1,67213005,11
antiviral therapy,B,1,427314002,8
antivitamin k,B,1,,
anxiety disorders,B,1,192399008,5
aortic valve stenosis,B,1,60573004,16
apa,B,1,,
apathy,B,1,271597000,
aromatase inhibitors,B,1,123371000119105,6
arr,B,1,,
arrhythmias,B,1,318178003,5
arrival,B,1,147047008,
arterial,B,1,263954005,7
arterial blood gas analysis,B,1,389623009,
arterial hypertension,B,1,39018007,14
arteries,B,1,204483000,
arthralgia,B,1,57676002,12
arthritis,B,1,3723001,10
asper,B,1,5281004,12
aspergilloma,B,1,10446001,13
aspergillosis,B,1,65553006,6
aspergillus,B,1,2429008,12
aspergillus spores,B,1,,
aspiration,B,1,68052005,9
aspirin,B,1,7947003,16
assess,B,1,142591008,
assessing,B,1,1069811000000104,8
assisted ventilation,B,1,870391004,7
assisting,B,1,119265000,3
associated,B,1,147970002,
asthma,B,1,155574008,
asymmetric non-suppurative joint inflammation,B,1,,
asymptomatic,B,1,84387000,8
asymptomatic carrier,B,1,38691000087107,9
ataxia,B,1,20262006,6
atopic dermatitis,B,1,156331003,
atrophic cervix,B,1,,
atrophic pseudarthrosis,B,1,,
attacks,B,1,162243001,
auricular pavilion,B,1,,
auscultation,B,1,37931006,10
autoantibodies,B,1,143287006,
autoantibody,B,1,30621004,19
autoimmune destruction,B,1,,
autoimmune diseases,B,1,95329006,8
autoimmune disorder,B,1,85828009,7
autoimmune etiology,B,1,,
autoimmune haemolysis,B,1,,
autoimmune hemolytic anemia,B,1,25121006,18
autoimmune response,B,1,,
autoimmune-mediated destruction,B,1,,
autologous bone marrow transplantation,B,1,,
autologous graft,B,1,15879007,10
autonomic nerve,B,1,276145003,14
avoidance,B,1,16735006,9
avulsion,B,1,27515001,9
awakening,B,1,421355008,5
axillary hair,B,1,280911007,19
b symptoms,B,1,268014007,6
babinski's sign,B,1,,
backward flow of blood,B,1,,
bacteria,B,1,41146007,6
bacterial cultures,B,1,,
bacterial infections,B,1,186433006,5
barbiturate,B,1,255638005,
barrett's esophagus,B,1,76355008,
basal,B,1,57195005,6
basal dose,B,1,,
behavioural changes,B,1,,
bence-jones proteins,B,1,,
bence-jones proteinuria,B,1,274771005,17
benign lesions,B,1,,
benign thyroid lesion,B,1,,
benign tumours,B,1,,
benzodiazepine receptor,B,1,22723006,12
bernard-soulier disease,B,1,,
bhcg,B,1,40940006,20
bicarbonate,B,1,68615006,15
bicycle accident,B,1,215107006,
bilateral ocular redness,B,1,,
bilateral pulmonary infiltrates,B,1,,
bilirubin levels,B,1,,
billroth ii reconstruction,B,1,,
bioavailability,B,1,,
biochemical,B,1,80534008,4
bipolar disorder type i,B,1,,
birefringence,B,1,250532000,3
blackened,B,1,,
blood cell,B,1,63370004,7
blood pressure,B,1,75367002,8
blood smear,B,1,737535000,7
blood test,B,1,269965007,
blood vessels,B,1,139915007,
bmi,B,1,310252000,9
body image,B,1,405045001,7
body surface,B,1,102495000,
bone,B,1,128530007,12
bone age,B,1,123980006,8
bone marrow analysis,B,1,,
bone marrow aplasia,B,1,,
borderline personality disorder,B,1,20010003,10
boy,B,1,433152004,9
bpd,B,1,281688001,6
brain mri,B,1,,
brain's,B,1,,
breakdown,B,1,160793008,9
breakfast,B,1,769561004,9
breast biopsy,B,1,142370004,
breasts,B,1,153891003,
broad-spectrum antibiotic,B,1,,
bronchiolitis,B,1,4120002,16
burning sensations,B,1,,
burns,B,1,211657006,
burnt,B,1,157624000,
buttocks,B,1,250022001,
c-reactive protein,B,1,61425002,17
c-reactive protein (,B,1,314110009,18
c. difficile infection,B,1,,
c5,B,1,59397002,7
calcium loss,B,1,,
caloric malnutrition,B,1,,
campylobacter jejuni,B,1,66543000,14
canagliflozin,B,1,703681008,6
cancer-induced peripheral neuropathy,B,1,,
cap,B,1,228254002,6
carbamazepine,B,1,40820003,7
cardiac,B,1,150755000,
cardiac arrhythmias,B,1,53488008,13
cardiac cells,B,1,,
cardiac complications,B,1,157779001,
cardiac cycle,B,1,246092007,7
cardio-selective properties,B,1,,
cardiotocographic recordings,B,1,,
cardiovascular,B,1,154096002,
carpal tunnel syndrome,B,1,155073007,
carrier,B,1,29679002,6
cat hair,B,1,256425001,14
cation exchange resins,B,1,,
cavity,B,1,2483006,6
cd4 count,B,1,166080001,
cd5/cd19/cd23 antigens,B,1,,
cefazolin,B,1,81088002,10
cefixime,B,1,96052006,10
cefriaxone,B,1,,
cefriaxone 2g,B,1,,
cefuroxime-axetil,B,1,,
cell count,B,1,392985000,
cell growth,B,1,66819006,15
cell type,B,1,250295001,9
central calcification,B,1,,
central cervical spinal cord injury,B,1,,
central cord lesion,B,1,,
central medulla,B,1,,
central nervous system,B,1,21483005,10
central part,B,1,188151006,17
central puberty,B,1,,
central vision,B,1,16350000,14
centromedullary syringomyelia,B,1,,
cerebellar,B,1,155012005,
cerebral blood vessels,B,1,,
cerebral edema,B,1,2032001,9
cerebral palsy,B,1,128188000,10
cerebral vascular flow,B,1,,
cerebral vasodilation,B,1,,
certainty,B,1,17162000,6
cervical adenopathy,B,1,,
cervical conization,B,1,108941000119102,7
cervical ct scan,B,1,,
ch,B,1,261729007,8
chads2 score,B,1,438367009,5
chances,B,1,,
characteristic motor,B,1,,
characteristics,B,1,246196007,6
cheekbone,B,1,13881006,19
chemical meningitis,B,1,193074007,11
chemotherapy,B,1,150415003,
chest,B,1,51185008,11
chest pain,B,1,139228007,
chest wall,B,1,78904004,13
chlamydia,B,1,16241000,13
chloracepate,B,1,,
chlordiazepoxide,B,1,82746003,12
chorionic gonadotrophin,B,1,59433001,19
choroid,B,1,181172003,21
chromosomal,B,1,137820001,
chromosomal abnormality,B,1,157018005,
chronic autoimmune disease,B,1,,
chronic heart failure,B,1,48447003,13
chronic lung disease,B,1,413839001,10
chronic lymphocytic leukaemia,B,1,51092000,14
chronic ulcerative colitis,B,1,64766004,15
chronic watery diarrhea,B,1,,
chronological age,B,1,424144002,7
clinical,B,1,58147004,6
clinical condition,B,1,,
clinical features,B,1,774086001,4
clinical process,B,1,,
clinical scenario,B,1,,
clinical suspicion,B,1,,
clinically,B,1,141339009,
clonazepam,B,1,69708003,12
closed eyes,B,1,,
clostridium difficile,B,1,5933001,14
clots,B,1,37771000087101,12
clotting factor viii,B,1,40598008,15
co2,B,1,118312003,9
coexisting,B,1,,
cognitive decline,B,1,80216008,8
cognitive deficit,B,1,386806002,8
cognitive deficits,B,1,,
coherent,B,1,690361000220101,10
cold conditions,B,1,,
collagen,B,1,61472002,16
collapse,B,1,16277007,6
collection,B,1,165366009,
colon,B,1,71854001,24
colon cancer,B,1,31001000119109,14
colonisation,B,1,473047000,9
colorectal cancers,B,1,,
community-acquired pneumonia,B,1,,
compartment syndrome,B,1,111245009,8
compartments,B,1,178076002,16
competence,B,1,32082000,6
complement system,B,1,1148884002,14
complementary tests,B,1,,
complex injury,B,1,,
complicating,B,1,54113008,18
compound,B,1,62105006,6
compressing,B,1,37204000,6
compressive cervical spinal cord injury,B,1,,
compressive disorders,B,1,,
concentrating,B,1,,
conciliation,B,1,,
confirmatory,B,1,53479004,23
congestive heart failure,B,1,42343007,13
conization,B,1,108941000119102,7
conjunctival jaundice,B,1,,
connective tissue,B,1,21793004,7
connective tissue disease,B,1,105969002,5
constrictive pericarditis,B,1,155340008,
contact,B,1,147718008,
contact with,B,1,11723008,4
contaminated air,B,1,102413006,5
contaminated water,B,1,102414000,5
contents,B,1,276824008,5
contexts,B,1,,
contextual risk factors,B,1,,
continuous,B,1,255238004,6
contraindicated,B,1,410536001,5
contralateral,B,1,255209002,6
control,B,1,100248008,6
controlled reduction,B,1,,
controls,B,1,285943005,10
contusions,B,1,157440008,
cooking,B,1,227613003,9
copd,B,1,13645005,14
cor pulmonale,B,1,83291003,15
correct,B,1,152352009,
corset,B,1,228167008,6
corset-type orthosis,B,1,,
cortical lesions,B,1,,
cotrimoxazole,B,1,218348000,7
cough,B,1,49727002,6
counts,B,1,258734002,5
coxiella burnetii,B,1,22533000,15
cranial ct scan,B,1,,
cranial nerves,B,1,141298000,
craniopharyngioma,B,1,40009002,10
crescentic contour,B,1,,
crescentic glomerulonephritis,B,1,236398000,18
crescents,B,1,264296008,5
crisis,B,1,32937002,5
criteria,B,1,717350000,3
crossmatching,B,1,,
crp level,B,1,,
crying,B,1,139499009,
culprit,B,1,371895000,10
curvature,B,1,203626009,
cushing's,B,1,154705004,
cxr,B,1,171229005,15
cyanosis,B,1,3415004,10
cycles,B,1,1389345008,4
cycles/second,B,1,259025008,5
cyclophosphamide,B,1,74470007,10
cyclosporin a,B,1,80906007,9
cyclosporine,B,1,80906007,9
cystic lesion,B,1,238274004,12
cystic lesions,B,1,,
cytological,B,1,40413002,6
daily,B,1,69620002,9
daily living,B,1,151573006,
dark,B,1,255419005,5
dead burnt,B,1,,
decelerative fetal pattern,B,1,,
decision,B,1,420072004,11
decision-making,B,1,230453004,11
decreased growth,B,1,59576002,5
decreasing,B,1,260371004,7
deep descending sinus x,B,1,,
deep hemorrhages,B,1,,
deep inspiration,B,1,,
defects,B,1,155105003,
deficiencies,B,1,154722002,
deficits,B,1,389990003,
deformity,B,1,6081001,5
degeneration,B,1,33359002,5
degenerative condition,B,1,,
degenerative disc,B,1,202714003,15
degradation,B,1,1290129009,3
degree of,B,1,263521002,7
delayed menarche,B,1,,
delayed puberty,B,1,267487003,
delayed-release,B,1,736848004,4
delivery,B,1,66348005,8
demands,B,1,,
dementia,B,1,52448006,9
dependency,B,1,142645007,
depleted,B,1,256404001,9
deposited,B,1,,
depressed mood,B,1,366979004,9
depressive phase,B,1,,
depth,B,1,131197000,5
dermatological,B,1,200580005,
dermatomal,B,1,251627001,9
dermatophytes,B,1,115651002,11
detachment,B,1,155103005,
detecting,B,1,225957000,7
developing tolerance,B,1,,
develops,B,1,370789001,7
diabetes,B,1,162661000,
diabetic,B,1,138058003,
diacepam,B,1,,
diagnose,B,1,1382104006,6
diagnosed,B,1,405749004,13
diagnostic features,B,1,,
diagnostic hypothesis,B,1,,
diagnostic impression,B,1,,
diagnostic laparoscopy,B,1,76735009,17
diagnostic modalities,B,1,,
diagnostic study,B,1,370851004,7
diagnostic tests,B,1,142558004,
diagnostic value,B,1,,
dialysis,B,1,1231460007,3
diameter,B,1,81827009,5
diandric mole,B,1,,
dietary,B,1,151203006,
dietary modifications,B,1,,
differential diagnoses,B,1,,
differential tests,B,1,,
differentiating factor,B,1,,
difficult,B,1,401335003,
